date,kick_off,home_team,away_team,league,country,market,bet_description,odds,recommended_stake_pct,edge_percent,confidence_percent,expected_value,quality_score,risk_level
2025-09-14,15:00,KFUM Oslo,Viking,Eliteserien,Norway,Over 9.5 Corners,Over 9.5 Total Corners,1.7207461301075042,8.0,47.5,85.7,0.475,0.585,Low Risk
2025-09-14,14:30,Estrela,Guimaraes,Primeira Liga,Portugal,Over 9.5 Corners,Over 9.5 Total Corners,1.806294230321561,8.0,48.0,81.9,0.48,0.572,Medium Risk
2025-09-14,12:30,Heracles,AZ Alkmaar,Eredivisie,Netherlands,Draw/Away,Draw or Away Win,2.2,8.0,60.2,72.8,0.602,0.572,Medium Risk
2025-09-14,14:30,Grasshoppers,Lausanne,Super League,Switzerland,BTTS No,Both Teams to Score - No,2.7,8.0,71.6,63.6,0.716,0.569,Medium Risk
2025-09-14,10:15,Motor Lublin,Nieciecza,Ekstraklasa,Poland,Over 9.5 Corners,Over 9.5 Total Corners,1.794240113681328,8.0,47.0,81.9,0.47,0.569,Low Risk
2025-09-14,12:30,Heracles,AZ Alkmaar,Eredivisie,Netherlands,Over 9.5 Corners,Over 9.5 Total Corners,2.662414730641673,8.0,70.5,64.0,0.705,0.568,Medium Risk
2025-09-14,11:30,Preußen Münster,Fortuna Düsseldorf,2. Bundesliga,Germany,Over 9.5 Corners,Over 9.5 Total Corners,2.102748888813331,8.0,56.2,74.3,0.562,0.566,Medium Risk
2025-09-14,13:00,Burnley,Liverpool,Premier League,England,Draw/Away,Draw or Away Win,2.1,8.0,55.9,74.3,0.559,0.565,Medium Risk
2025-09-14,13:00,FF Jaro,AC Oulu,Veikkausliiga,Finland,BTTS No,Both Teams to Score - No,2.47,8.0,65.2,66.9,0.652,0.563,Medium Risk
2025-09-14,11:30,SV Elversberg,Dynamo Dresden,2. Bundesliga,Germany,BTTS No,Both Teams to Score - No,2.6,8.0,67.9,64.6,0.679,0.562,Medium Risk
2025-09-14,17:15,Haugesund,Rosenborg,Eliteserien,Norway,Over 9.5 Corners,Over 9.5 Total Corners,2.1979032852987284,8.0,57.6,71.7,0.576,0.56,Medium Risk
2025-09-14,16:30,Sporting Gijon,Burgos,Segunda División,Spain,BTTS No,Both Teams to Score - No,2.55,8.0,65.7,65.0,0.657,0.557,Medium Risk
2025-09-14,17:30,TSV 1860 München,Havelse,3. Liga,Germany,BTTS No,Both Teams to Score - No,2.39,8.0,62.0,67.8,0.62,0.557,Medium Risk
2025-09-14,18:00,York United,Atlético Ottawa,Canadian Premier League,Canada,Over 9.5 Corners,Over 9.5 Total Corners,2.0373131846656394,8.0,52.3,74.8,0.523,0.556,Medium Risk
2025-09-14,13:00,FF Jaro,AC Oulu,Veikkausliiga,Finland,Over 9.5 Corners,Over 9.5 Total Corners,1.9977804633637968,8.0,50.7,75.4,0.507,0.554,Medium Risk
2025-09-14,15:30,Widzew Łódź,Arka Gdynia,Ekstraklasa,Poland,Home Over 1.5,Home Team Over 1.5 Goals,2.395155071445875,8.0,61.3,67.3,0.613,0.553,Medium Risk
2025-09-14,18:00,York United,Atlético Ottawa,Canadian Premier League,Canada,BTTS No,Both Teams to Score - No,2.84,8.0,70.3,60.0,0.703,0.551,Medium Risk
2025-09-14,18:00,Csikszereda,FCSB,Liga I,Romania,Draw/Away,Draw or Away Win,2.34,8.0,58.9,67.9,0.589,0.548,Medium Risk
2025-09-14,13:30,FC St. Pauli,FC Augsburg,Bundesliga,Germany,BTTS No,Both Teams to Score - No,2.41,8.0,60.4,66.6,0.604,0.548,Medium Risk
2025-09-14,14:30,Waldhof Mannheim,Energie Cottbus,3. Liga,Germany,Over 9.5 Corners,Over 9.5 Total Corners,2.7983804198581823,8.0,67.1,59.7,0.671,0.54,Medium Risk
2025-09-14,15:00,Sarpsborg 08 FF,Sandefjord,Eliteserien,Norway,BTTS No,Both Teams to Score - No,2.83,8.0,67.2,59.1,0.672,0.538,Medium Risk
2025-09-14,12:00,FC Winterthur,FC Sion,Super League,Switzerland,Over 9.5 Corners,Over 9.5 Total Corners,1.8189835772825376,8.0,40.7,77.3,0.407,0.531,Medium Risk
2025-09-14,12:00,Djurgardens IF,Hammarby FF,Allsvenskan,Sweden,BTTS No,Both Teams to Score - No,2.68,8.0,61.8,60.4,0.618,0.527,Medium Risk
2025-09-14,16:30,Sporting Gijon,Burgos,Segunda División,Spain,Over 9.5 Corners,Over 9.5 Total Corners,1.8674066498884323,8.0,40.9,75.4,0.409,0.524,Medium Risk
2025-09-14,17:15,Haugesund,Rosenborg,Eliteserien,Norway,Draw/Away,Draw or Away Win,1.49,8.0,26.9,85.2,0.269,0.521,Low Risk
2025-09-14,23:00,Club Queretaro,Monterrey,Liga MX,Mexico,BTTS No,Both Teams to Score - No,2.47,8.0,56.0,63.2,0.56,0.521,Medium Risk
2025-09-14,11:30,SpVgg Greuther Fürth,1. FC Kaiserslautern,2. Bundesliga,Germany,BTTS No,Both Teams to Score - No,2.68,8.0,60.3,59.8,0.603,0.52,Medium Risk
